ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13203230,JG414128,07/29/2023 10:24:00 PM,001XX N WESTERN AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,false,false,1223,012,27,28,10,1160382,1901043,2023,09/15/2023 03:41:25 PM,41.884163773,-87.686516386,"(41.884163773, -87.686516386)"
13203456,JG415309,09/06/2023 03:00:00 AM,007XX E 105TH PL,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,true,0512,005,9,50,26,1183083,1835159,2023,09/15/2023 03:41:25 PM,41.70287272,-87.605205786,"(41.70287272, -87.605205786)"
13204006,JG412016,09/05/2023 11:46:00 AM,026XX W ADAMS ST,0820,THEFT,$500 AND UNDER,APARTMENT,true,true,1125,011,27,27,06,1158810,1898926,2023,09/15/2023 03:41:25 PM,41.878386896,-87.692347019,"(41.878386896, -87.692347019)"
13691955,JH542401,12/14/2024 10:57:00 AM,051XX N CENTRAL PARK AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1712,017,39,13,08A,1151457,1933909,2024,12/22/2024 03:41:50 PM,41.974530757,-87.718424632,"(41.974530757, -87.718424632)"
13692267,JH542914,12/14/2024 06:20:00 PM,009XX W 35TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0915,009,11,60,08B,1170935,1881649,2024,12/22/2024 03:41:50 PM,41.830720282,-87.648332928,"(41.830720282, -87.648332928)"
13692564,JH542144,12/14/2024 03:52:00 AM,057XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0822,008,14,63,08B,1154694,1866328,2024,12/22/2024 03:41:50 PM,41.789017294,-87.708331009,"(41.789017294, -87.708331009)"
13692894,JH543712,12/14/2024 11:15:00 PM,062XX S WASHTENAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0825,008,16,66,07,1159445,1863266,2024,12/22/2024 03:41:50 PM,41.780518645,-87.690994449,"(41.780518645, -87.690994449)"
28526,JH542649,12/14/2024 03:43:00 PM,002XX N PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,false,1122,011,28,26,01A,1149683,1901315,2024,12/22/2024 03:41:50 PM,41.885124736,-87.725797501,"(41.885124736, -87.725797501)"
13693870,JH544870,12/15/2024 12:00:00 AM,027XX W 66TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0831,008,16,66,06,1159328,1860762,2024,12/22/2024 03:41:50 PM,41.773649709,-87.691491912,"(41.773649709, -87.691491912)"
13692310,JH542978,12/14/2024 01:00:00 AM,009XX W RANDOLPH ST,0810,THEFT,OVER $500,RESTAURANT,false,false,1224,012,27,28,06,1169980,1901223,2024,12/22/2024 03:41:50 PM,41.884453785,-87.651266342,"(41.884453785, -87.651266342)"
13692168,JH542697,12/14/2024 03:00:00 PM,001XX W 79TH ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0623,006,17,69,06,1176766,1852607,2024,12/22/2024 03:41:50 PM,41.75089655,-87.627813307,"(41.75089655, -87.627813307)"
13691618,JH542052,12/14/2024 01:10:00 AM,032XX S HARDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1031,010,22,30,08B,1150556,1882885,2024,12/22/2024 03:41:50 PM,41.83453361,-87.723072721,"(41.83453361, -87.723072721)"
13692575,JH543300,12/14/2024 11:40:00 PM,002XX W 37TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,false,false,0915,009,3,34,15,1175149,1880097,2024,12/22/2024 03:41:50 PM,41.826368214,-87.63291809,"(41.826368214, -87.63291809)"
13692572,JH543328,12/14/2024 11:02:00 PM,003XX W ONTARIO ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1831,018,42,8,06,1174093,1904430,2024,12/22/2024 03:41:50 PM,41.893163281,-87.636067309,"(41.893163281, -87.636067309)"
13694283,JH544455,12/14/2024 01:25:00 PM,016XX N HONORE ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1434,014,32,24,06,1163762,1910963,2024,12/22/2024 03:41:50 PM,41.911314422,-87.673824633,"(41.911314422, -87.673824633)"
13694715,JH546047,12/14/2024 08:00:00 AM,030XX E 83RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0424,004,7,46,08A,1197814,1850519,2024,12/22/2024 03:41:50 PM,41.744667425,-87.550754157,"(41.744667425, -87.550754157)"
13692002,JH542399,12/14/2024 10:00:00 AM,047XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,2533,025,37,25,06,1144311,1910210,2024,12/22/2024 03:41:50 PM,41.909636288,-87.745300725,"(41.909636288, -87.745300725)"
13693653,JH543612,12/14/2024 03:00:00 PM,006XX N LA SALLE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1832,018,42,8,14,1175014,1904906,2024,12/22/2024 03:41:50 PM,41.894448863,-87.632670576,"(41.894448863, -87.632670576)"
13697817,JH549738,12/01/2024 12:00:00 AM,048XX W OAKDALE AVE,1192,DECEPTIVE PRACTICE,WIC FRAUD,RESIDENCE,false,false,2521,025,31,19,11,1143619,1919178,2024,12/22/2024 03:41:04 PM,41.934258386,-87.747617848,"(41.934258386, -87.747617848)"
13693202,JH543696,12/14/2024 01:42:00 PM,044XX N BROADWAY,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1913,019,46,3,06,1168469,1929861,2024,12/22/2024 03:41:50 PM,41.963070794,-87.655984213,"(41.963070794, -87.655984213)"
13697636,JH549473,11/25/2024 12:00:00 AM,044XX W LAWRENCE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1722,017,39,16,11,1145450,1931525,2024,12/22/2024 03:41:04 PM,41.968105076,-87.740575045,"(41.968105076, -87.740575045)"
13692466,JH542793,12/14/2024 04:45:00 PM,010XX W 14TH ST,031A,ROBBERY,ARMED - HANDGUN,CHA APARTMENT,false,false,1232,012,28,28,03,1169660,1893568,2024,12/22/2024 03:41:50 PM,41.863454866,-87.652664332,"(41.863454866, -87.652664332)"
13694298,JH544567,12/14/2024 05:00:00 PM,019XX W DIVISION ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,false,false,1424,014,1,24,11,1163070,1908002,2024,12/22/2024 03:41:50 PM,41.903203797,-87.67645011,"(41.903203797, -87.67645011)"
13692032,JH542562,12/14/2024 01:00:00 AM,009XX W 34TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0913,009,11,60,07,1170628,1882391,2024,12/22/2024 03:41:50 PM,41.832763111,-87.649437647,"(41.832763111, -87.649437647)"
13692108,JH542605,12/14/2024 02:00:00 PM,027XX N RUTHERFORD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2512,025,36,18,08B,1130952,1917461,2024,12/22/2024 03:41:50 PM,41.929774767,-87.79420941,"(41.929774767, -87.79420941)"
13692693,JH543411,12/14/2024 03:00:00 PM,006XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1834,018,42,8,08B,1177308,1904964,2024,12/22/2024 03:41:50 PM,41.894556302,-87.624243734,"(41.894556302, -87.624243734)"
13692132,JH542746,12/14/2024 02:30:00 PM,008XX S INDEPENDENCE BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1133,011,24,27,06,1151390,1896001,2024,12/22/2024 03:41:50 PM,41.870509207,-87.719668588,"(41.870509207, -87.719668588)"
13691726,JH542110,12/14/2024 02:30:00 AM,028XX W 59TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0824,008,15,63,08B,1158637,1865403,2024,12/22/2024 03:41:50 PM,41.786399399,-87.693898477,"(41.786399399, -87.693898477)"
13697730,JH549674,11/26/2024 11:00:00 AM,036XX W DOUGLAS BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1011,010,24,29,08A,1152131,1893208,2024,12/22/2024 03:41:04 PM,41.86283033,-87.71702173,"(41.86283033, -87.71702173)"
13692741,JH543503,12/14/2024 08:26:00 PM,031XX W 66TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0831,008,15,66,07,1156705,1860698,2024,12/22/2024 03:41:50 PM,41.7735274,-87.701109068,"(41.7735274, -87.701109068)"
13691665,JH542136,12/14/2024 02:51:00 AM,004XX E 87TH ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,0632,006,6,44,26,1180669,1847399,2024,12/22/2024 03:41:50 PM,41.736516489,-87.613670533,"(41.736516489, -87.613670533)"
13692357,JH542352,12/14/2024 02:15:00 AM,006XX W CERMAK RD,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),false,false,1235,012,25,31,06,1172300,1889667,2024,12/22/2024 03:41:50 PM,41.852692376,-87.643088278,"(41.852692376, -87.643088278)"
13692398,JH543034,12/14/2024 08:45:00 PM,061XX W GUNNISON ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,false,true,1622,016,45,11,04B,1134418,1931594,2024,12/22/2024 03:41:50 PM,41.968496695,-87.781137959,"(41.968496695, -87.781137959)"
13692426,JH543086,12/14/2024 09:00:00 PM,049XX W RACE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1532,015,37,25,08B,1143241,1903208,2024,12/22/2024 03:41:50 PM,41.890442068,-87.749406576,"(41.890442068, -87.749406576)"
13695185,JH546485,12/14/2024 01:00:00 PM,030XX W WARREN BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1222,012,27,27,05,1156016,1900196,2024,12/22/2024 03:41:50 PM,41.881928705,-87.702571742,"(41.881928705, -87.702571742)"
13692860,JH543698,12/14/2024 08:00:00 PM,001XX N PINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1523,015,37,25,14,1139482,1900414,2024,12/22/2024 03:41:50 PM,41.882844344,-87.763279764,"(41.882844344, -87.763279764)"
13432235,JH229057,07/24/2021 03:30:00 AM,002XX E CHESTNUT ST,1585,SEX OFFENSE,OTHER,OTHER (SPECIFY),false,false,1833,018,2,8,17,,,2021,04/18/2024 03:40:59 PM,,,
